Feature Name ,Status
Aggregated Business Calendar,Not Activated!
Content Type Syndication Hub,Activated !
Cross-Site Collection Publishing,Not Activated!
Custom Site Collection Help,Not Activated!
Disposition Approval Workflow,Not Activated!
Document ID Service,Activated !
Document Sets,Activated !
Duet End User Help Collection,Not Activated!
Duet Enterprise Reports Content Types,Not Activated!
In Place Records Management,Not Activated!
Library and Folder Based Retention,Not Activated!
Limited-access user permission lockdown mode,Activated !
Open Documents in Client Applications by Default,Not Activated!
Project Server Approval Content Type,Not Activated!
Project Web App Permission for Excel Web App Refresh,Not Activated!
Project Web App Ribbon,Not Activated!
Project Web App Settings,Not Activated!
Publishing Approval Workflow,Not Activated!
Reporting,Not Activated!
Reports and Data Search Support,Not Activated!
Review,Not Activated!
Sample Proposal,Not Activated!
Search Engine Sitemap,Not Activated!
Search Server Web Parts and Templates,Not Activated!
SharePoint 2007 Workflows,Not Activated!
SharePoint Lists and Libraries experience,Not Activated!
SharePoint Server Enterprise Site Collection features,Not Activated!
SharePoint Server Publishing Infrastructure,Activated !
SharePoint Server Standard Site Collection features,Not Activated!
Site Policy,Not Activated!
Three-state workflow,Activated !
Video and Rich Media (Classic),Activated !
Workflows,Not Activated!
